"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8"
"HSBP1L1",1608.38192472531,0.314989420757216,0.0757036648798863,4.16082129256209,3.17105155644818e-05,0.00634411647896394,"Up"
"HYKK",361.57108290513,0.585706866278731,0.196143369988694,2.98611605537568,0.00282545391818215,0.0444594521657526,"Up"
"IDH3B",2412.79944351668,0.206963941826773,0.0543513037611834,3.80789286557247,0.000140155965695733,0.0127558228174403,"Up"
"IGIP",557.352089162495,0.57636615727356,0.162510869294723,3.54663143317686,0.000390190054400299,0.0206587234767224,"Up"
"IKBIP",165.139584971152,0.327070814593888,0.0970505042366485,3.3701093793017,0.000751383521405086,0.0266229907014699,"Up"
"IL3RA",34.4994941794799,1.32359077095309,0.420910416807484,3.14459019805745,0.00166319631141193,0.0361429763948896,"Up"
"INPP5J",489.143995105889,0.419132410413091,0.135371224911904,3.09617062773756,0.00196037519198624,0.0384861901059594,"Up"
"ISCU",1987.85513608394,0.321364205587277,0.109611505482918,2.93184738382558,0.00336952287573822,0.0477696701319779,"Up"
"ITGAE",1032.64051903407,0.393434037548963,0.102445207135787,3.84043381382872,0.000122817082568349,0.0121888701471769,"Up"
"KCNAB3",78.7766238395164,0.982321551377607,0.338303646008272,2.90366823700619,0.00368818755850489,0.0497707879950703,"Up"
"KISS1",10.400174754691,2.55016824620433,0.733946509619729,3.47459687154261,0.000511621594895506,0.0229926226516987,"Up"
"KLK15",204.629408638575,0.404789424444487,0.11635159937717,3.47901899596848,0.000503252912294207,0.0229926226516987,"Up"
"KRT10",1943.51515103478,0.653394807430306,0.183068778712825,3.56912200990464,0.000358179596794709,0.0201539983839309,"Up"
"KRTCAP2",46.9439702913637,0.725736229497987,0.24652119853476,2.94391003212511,0.00324094197279305,0.047365906951775,"Up"
"LAMTOR5",4101.72081384047,0.440128589345514,0.135606474647221,3.24563108428639,0.00117190597575221,0.0313603034360528,"Up"
"LCN2",29.2495457684635,2.21088436390726,0.736353265657134,3.00247784184705,0.00267791467546916,0.0434954079505325,"Up"
"LPXN",211.849950228989,0.562764658311889,0.166104728446549,3.3880110673248,0.00070401423528033,0.0262660619147912,"Up"
"LRR1",439.837579608813,0.500751009894643,0.137708382810631,3.63631465038152,0.000276566478873203,0.0181554369776971,"Up"
"LSM3",3454.59318923,0.376653920911804,0.104202894713179,3.61462051460811,0.000300787876412847,0.0186548007177368,"Up"
"LSM8",1526.8297446176,0.455983432173433,0.124072150244622,3.67514733382482,0.000237712195180304,0.0168491405120037,"Up"
"LTB4R",460.553859070189,1.98471775733581,0.477498538985797,4.15648969639014,3.23174739845979e-05,0.00636452253284174,"Up"
"LTN1",934.261035755051,0.348682352790283,0.114843002118566,3.03616542895925,0.00239607862422956,0.0406794355199295,"Up"
"LYRM9",296.451407731129,0.733725981717183,0.246907602278593,2.971662172189,0.0029619239985509,0.0451962349609389,"Up"
"MAGEF1",5596.54358079202,0.333948970841672,0.106098587830571,3.14753454942261,0.00164653646439681,0.0360294194396829,"Up"
"MEAF6",3424.4097965323,0.198751595951119,0.059210197611612,3.35671225512243,0.000788751530029823,0.0267358582656317,"Up"
"MFSD11",882.622916037568,0.266623205389721,0.0900498710044634,2.96083939283495,0.00306801882116868,0.0460606170062935,"Up"
"MGME1",1202.43287147746,0.308938453346092,0.100473777768728,3.07481673533976,0.00210631936992385,0.039151490094271,"Up"
"MGST1",6824.21453043087,0.439927385864145,0.13591009043052,3.23690010410996,0.00120835703189421,0.0315323644513346,"Up"
"MMP10",125.153914663724,0.659916683416437,0.225608997695097,2.92504594301816,0.00344405372110107,0.0478504329418418,"Up"
"MORN2",441.369214571948,0.594492867415945,0.191295153561054,3.10772571259211,0.00188532956749786,0.0382868300643603,"Up"
"MORN3",129.401975025838,0.555375388506952,0.174893005348203,3.17551515225683,0.0014957071004958,0.0345906280635763,"Up"
"MRPS6",931.885062894051,0.552893887896501,0.141458191901236,3.90853212857776,9.2858599800873e-05,0.0111465694465734,"Up"
"MSMB",42.6272437802238,1.09406639487277,0.359979824281499,3.03924364943637,0.00237172953601578,0.0406794355199295,"Up"
"MSRA",238.144126058736,0.484887689942449,0.123394811112664,3.92956304702091,8.51003622146224e-05,0.0108328950154837,"Up"
"MTCH2",5994.58945795569,0.161794411090751,0.050982764704651,3.17351191187933,0.00150606721635142,0.0346114548185242,"Up"
"MTHFD2L",1788.91326036497,0.462530798993113,0.152195249087395,3.03906200598623,0.00237316004369834,0.0406794355199295,"Up"
"MTX2",1197.05404196074,0.325700245713624,0.0989870325933831,3.29033245244889,0.00100069076244725,0.0290766920990994,"Up"
"MUC1",29.6268124719378,1.34653549353062,0.4023626162816,3.34657206967812,0.000818174082267213,0.0268548597210832,"Up"
"MYL6",22342.7257024864,0.918438100320638,0.277605557579999,3.30842836262731,0.000938211842117429,0.0287718298249345,"Up"
"MYPOP",229.870739374041,0.790950447796297,0.215174957871316,3.67584804301121,0.000237060605200313,0.0168491405120037,"Up"
"NDUFAB1",5377.05512523128,0.588629670409243,0.185919566180357,3.16604477141597,0.00154527007627442,0.0349669372376351,"Up"
"NDUFAF6",691.921410493856,0.378980468421925,0.109936376673171,3.44727086602638,0.000566280527874002,0.0241945755027929,"Up"
"NDUFB1",3805.82575847459,1.04413488842527,0.320093038288536,3.26197312508895,0.00110639632215943,0.0305631344722993,"Up"
"NDUFB3",1662.28405656928,0.459334335033759,0.150455481035547,3.05295846899214,0.00226597296595338,0.0400565543658855,"Up"
"NDUFB6",2490.96061829854,0.558642350861235,0.171800500391752,3.2516922220097,0.00114720173775452,0.0309309169984168,"Up"
"NDUFC1",1902.8379522811,0.3413570563538,0.110417598203037,3.09150952302106,0.00199141594528301,0.0384861901059594,"Up"
"NDUFC2",2666.47531752389,1.32693599819435,0.404496369966873,3.28046453989939,0.00103636291557051,0.0290920226900908,"Up"
"NECAP1",2148.81753703823,0.214710108179471,0.0705542290178563,3.04319260756334,0.00234082455983304,0.0406794355199295,"Up"
"NEU1",1819.63113858387,0.261136150646324,0.0844369677776655,3.09267560784434,0.00198360834208966,0.0384861901059594,"Up"
"NHLRC3",487.462315079858,0.393148283575329,0.11653632544899,3.37361146458508,0.000741890029899201,0.0266229907014699,"Up"
"OARD1",794.430180055004,0.374754378834072,0.105339591923945,3.55758335483816,0.00037428235149163,0.0205106728617413,"Up"
"OAZ3",225.862245059192,0.585729143921107,0.188242306954045,3.11157015337737,0.00186095251338074,0.0382868300643603,"Up"
"OCIAD2",2826.75877326091,0.475735746599489,0.124281001874727,3.82790401930476,0.000129239131902179,0.0124345802938554,"Up"
"ORMDL1",1094.33643473914,0.381245053531402,0.10712480965674,3.55888663655997,0.000372430229333384,0.0204982996092488,"Up"
