"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","...9","...10"
"MRGPRF",-0.967151627817596,2.50948760921046,-6.23076007042791,8.33303587504311e-09,8.58979871859692e-08,9.61301685419352,"Down",NA,"'MRGPRF',"
"RBM38",-0.967462104168,3.72987484640127,-6.13032268785541,1.33927351671327e-08,1.28213679540276e-07,9.15024492879319,"Down",NA,"'RBM38',"
"TCN2",-0.967606255576783,2.96869857785608,-7.83525269609791,2.89582144384916e-12,8.23391281980445e-11,17.4152873806058,"Down",NA,"'TCN2',"
"AVPI1",-0.969666844660624,3.18708613791026,-6.99240674642903,2.05975591249106e-10,3.36525058117726e-09,13.2309958500309,"Down",NA,"'AVPI1',"
"SP6",-0.969789323720094,1.61471249304826,-4.89191918129458,3.3629680717986e-06,1.7391838844698e-05,3.79065846584012,"Down",NA,"'SP6',"
"LARGE1",-0.969979705312249,2.0318571318089,-8.45442591757513,1.16366876368015e-13,5.36756910034887e-12,20.5759034340026,"Down",NA,"'LARGE1',"
"TSPAN2",-0.970680670639068,2.39476421516934,-6.42508078055329,3.29603101601896e-09,3.79126590293465e-08,10.5184810002896,"Down",NA,"'TSPAN2',"
"GPRASP1",-0.970934599407621,2.01646827555158,-8.18292199233667,4.79644474300447e-13,1.75223719351439e-11,19.1826831916253,"Down",NA,"'GPRASP1',"
"ANPEP",-0.971696610904986,4.11270833962644,-2.65192407341446,0.00916209370644672,0.0199469372636419,-3.6503916073301,"Down",NA,"'ANPEP',"
"DPYD",-0.972488172918207,2.01167882550724,-6.3743074886556,4.20485527945932e-09,4.70912854289417e-08,10.2806441531754,"Down",NA,"'DPYD',"
"STOM",-0.97253734604378,5.38868104774246,-5.8763758003751,4.37518408480024e-08,3.65920844747991e-07,7.99707773319633,"Down",NA,"'STOM',"
"GPX8",-0.972971998748723,2.45097772709177,-6.96194298118664,2.39579127082259e-10,3.83873011867065e-09,13.0829597701786,"Down",NA,"'GPX8',"
"MMP2",-0.972991711764299,4.39177725677089,-4.94412055670863,2.70098135127925e-06,1.42548758631802e-05,4.00189766685823,"Down",NA,"'MMP2',"
"PYGL",-0.97647771248007,2.99100434939217,-4.44085995464276,2.10905653202393e-05,9.02413366454653e-05,2.02786178224503,"Down",NA,"'PYGL',"
"PPIC",-0.976639142060834,3.45322676800146,-7.55455720263305,1.2180379653536e-11,2.92745808883538e-10,16.0043960854036,"Down",NA,"'PPIC',"
"SLCO3A1",-0.977274269360235,1.47441529927721,-8.72360183391619,2.83252655064267e-14,1.56784636284967e-12,21.966619754867,"Down",NA,"'SLCO3A1',"
"CLIC6",-0.977287111327505,1.63217380600924,-8.36575584512956,1.84999767757813e-13,7.84038458901209e-12,20.1197622935605,"Down",NA,"'CLIC6',"
"PALM3",-0.978400503380627,1.25084243072357,-4.07460889341896,8.62846580685762e-05,0.000318013632824983,0.684885412634196,"Down",NA,"'PALM3',"
"DMD",-0.978849427812476,1.72978771474141,-6.67982096624467,9.59843405338408e-10,1.30256312347038e-08,11.724432125047,"Down",NA,"'DMD',"
"PRKG2",-0.980031074208583,1.49503783124484,-5.32888447096444,5.15764391017716e-07,3.22967170597518e-06,5.60174831146291,"Down",NA,"'PRKG2',"
"NPR2",-0.980215399081125,1.90219414524691,-7.96194348004417,1.50728488282086e-12,4.74690787406996e-11,18.0569566480336,"Down",NA,"'NPR2',"
"MRAP2",-0.980587366637863,1.90591009141052,-8.06817424694015,8.70048954366256e-13,2.9594626071609e-11,18.5971365497504,"Down",NA,"'MRAP2',"
"TPM1",-0.980653918419483,5.51058566738127,-6.21304222637656,9.06280959708836e-09,9.22113491736672e-08,9.53111549692781,"Down",NA,"'TPM1',"
