"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8","...9","...10"
"TNNC1",50.0063915028073,0.937428965742329,0.31460225713721,2.97972740015492,0.00288505001820942,0.0449011170285432,"up",NA,"'TNNC1',"
"UQCR11",2421.83715451501,0.924548067283116,0.294914278950629,3.13497220471272,0.0017187039544554,0.036654051847641,"up",NA,"'UQCR11',"
"ABTB1",288.469387154183,0.919578650259549,0.280700840089467,3.2760096121068,0.00105284977516932,0.0294237662222487,"up",NA,"'ABTB1',"
"FCHSD1",43.248116340691,0.918623412833951,0.293735444692774,3.12738360123602,0.00176369642258732,0.0371732938299174,"up",NA,"'FCHSD1',"
"MYL6",22342.7257024864,0.918438100320638,0.277605557579999,3.30842836262731,0.000938211842117429,0.0287718298249345,"up",NA,"'MYL6',"
"BLOC1S1",583.455739346948,0.915717865613645,0.301539699013991,3.03680698962016,0.00239098500676031,0.0406794355199295,"up",NA,"'BLOC1S1',"
"GNG10",35.957291107574,0.912768432458928,0.287296163299028,3.17709927615318,0.00148756105475036,0.034588553932995,"up",NA,"'GNG10',"
"VKORC1",754.3413655389,0.901595419087125,0.293501775588195,3.07185677933387,0.00212731768085687,0.039151490094271,"up",NA,"'VKORC1',"
"ZNRD1",439.495168535764,0.886051675064684,0.295809118184518,2.99534943514482,0.00274130600478117,0.0440064960937915,"up",NA,"'ZNRD1',"
"PCLAF",1139.67242752819,0.872980284450493,0.25668114989163,3.40102997364264,0.000671324664547917,0.0257968782681767,"up",NA,"'PCLAF',"
"HOXB7",139.625839519503,0.853161309426478,0.274878738957196,3.10377336807897,0.00191069629565873,0.0382868300643603,"up",NA,"'HOXB7',"
"ATP5MPL",5340.56289476653,0.841028703657085,0.260678937421892,3.22630095079731,0.00125401422959201,0.0319304956561166,"up",NA,"'ATP5MPL',"
"RHBDD2",4892.42303900449,0.837657421656499,0.225423667334485,3.71592491401348,0.000202461705368327,0.0157520205831012,"up",NA,"'RHBDD2',"
"COX8A",9114.2452230925,0.830052667687417,0.274790264754266,3.02067712780764,0.0025221014256026,0.041937422649466,"up",NA,"'COX8A',"
"HLA-B",1358.01588925651,0.803049508308123,0.225214447423375,3.56571044839984,0.000362871838495373,0.0203272740106475,"up",NA,"'HLA-B',"
"MYPOP",229.870739374041,0.790950447796297,0.215174957871316,3.67584804301121,0.000237060605200313,0.0168491405120037,"up",NA,"'MYPOP',"
"SDCBP2",53.2519119798491,0.786210789474143,0.256819609661849,3.06133472638377,0.0022035260489347,0.0395886949822616,"up",NA,"'SDCBP2',"
"COX14",2299.98611770164,0.772859583667228,0.231999048339951,3.33130497386674,0.000864398453266366,0.0275830687787381,"up",NA,"'COX14',"
"DDB2",1054.70484039487,0.755723550637889,0.254799219132255,2.96595709049495,0.00301742585737431,0.0456562250976541,"up",NA,"'DDB2',"
"TMEM173",200.487206719186,0.748089419718069,0.188274056571837,3.97340681631637,7.08518841917525e-05,0.0103356149378996,"up",NA,"'TMEM173',"
"BANP",1019.73531611578,0.743698776064365,0.222408043222461,3.34384838465796,0.000826248793392253,0.0268569234784888,"up",NA,"'BANP',"
"GDPGP1",293.127775856449,0.735242430259371,0.229846106617313,3.1988465720828,0.00137978578458525,0.0329996584988851,"up",NA,"'GDPGP1',"
"HES1",549.210022228152,0.734330300248334,0.1853673783753,3.96148614003477,7.44847064180562e-05,0.0105483734796987,"up",NA,"'HES1',"
"RENBP",63.3017171001423,0.734062608521804,0.23621427899053,3.10761318773296,0.00188604746972986,0.0382868300643603,"up",NA,"'RENBP',"
