"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0060348","bone development","9/257","219/18805",0.0410958904109589,3.00703587228826,3.51663557454968,0.00326000286383004,0.232938088335866,0.218747372529166,"AMER1/ATG9A/BMP6/DCHS1/LRP5/MEGF8/PTGER4/SH3PXD2B/ZBTB16",9,"BP",0.0350194552529183,0.0116458388726403
"BP","GO:0008361","regulation of cell size","8/257","179/18805",0.0446927374301676,3.270221507293,3.59234541880679,0.00328081814557558,0.232938088335866,0.218747372529166,"CREB1/HSP90AA1/MAPT/MEGF8/RB1CC1/RPTOR/SHANK3/SLC12A8",8,"BP",0.0311284046692607,0.00951874501462377
"BP","GO:0002064","epithelial cell development","9/257","221/18805",0.0407239819004525,2.97982287796891,3.4849457048862,0.00346150622737603,0.237545334959962,0.223073943167806,"AR/ATRX/BMP6/CCDC88C/FASN/FLNA/GDF11/PODXL/PRDM1",9,"BP",0.0350194552529183,0.0117521935655411
"BP","GO:0006364","rRNA processing","9/257","222/18805",0.0405405405405405,2.96640025239247,3.46923432241301,0.003565864382762,0.237545334959962,0.223073943167806,"DDX18/DDX21/GEMIN4/NOL8/NOP9/PRKDC/UTP14A/UTP25/WDR43",9,"BP",0.0350194552529183,0.0118053709119915
"BP","GO:0032253","dense core granule localization","3/257","23/18805",0.130434782608696,9.54407037726273,4.82615155840465,0.00364986430156152,0.237545334959962,0.223073943167806,"CADPS2/MECP2/TANC2",3,"BP",0.0116731517509728,0.00122307896835948
"BP","GO:0099188","postsynaptic cytoskeleton organization","3/257","23/18805",0.130434782608696,9.54407037726273,4.82615155840465,0.00364986430156152,0.237545334959962,0.223073943167806,"FARP1/NOS1AP/WASF2",3,"BP",0.0116731517509728,0.00122307896835948
"BP","GO:0051648","vesicle localization","9/257","224/18805",0.0401785714285714,2.93991453585325,3.4380738732213,0.00378198949248554,0.241121126010711,0.226431895071046,"ATP13A2/CADPS2/EXOC4/KIF3B/MECP2/MYO1C/SPG11/TANC2/TRAPPC10",9,"BP",0.0350194552529183,0.0119117256048923
"BP","GO:0015867","ATP transport","3/257","24/18805",0.125,9.14640077821012,4.70062034639452,0.00412956506096102,0.248407840959914,0.233274699358205,"ANKH/PANX1/SLC25A23",3,"BP",0.0116731517509728,0.00127625631480989
"BP","GO:0006862","nucleotide transport","4/257","48/18805",0.0833333333333333,6.09760051880675,4.16243885702641,0.00413773559324094,0.248407840959914,0.233274699358205,"ABCC4/ANKH/PANX1/SLC25A23",4,"BP",0.0155642023346304,0.00255251262961978
"BP","GO:0071526","semaphorin-plexin signaling pathway","4/257","48/18805",0.0833333333333333,6.09760051880675,4.16243885702641,0.00413773559324094,0.248407840959914,0.233274699358205,"FLNA/PLXNA1/PLXNB2/PLXNB3",4,"BP",0.0155642023346304,0.00255251262961978
"BP","GO:1901655","cellular response to ketone","6/257","111/18805",0.0540540540540541,3.95520033652329,3.67570320583539,0.00421434557326359,0.248407840959914,0.233274699358205,"ACACA/AR/CREB1/PTGER4/SP1/TNC",6,"BP",0.0233463035019455,0.00590268545599575
"BP","GO:0006360","transcription by RNA polymerase I","5/257","80/18805",0.0625,4.57320038910506,3.76994133619972,0.00479326676640027,0.272325509612886,0.25573529054893,"DDX21/ERCC6/FLNA/MYO1C/WDR43",5,"BP",0.0194552529182879,0.00425418771603297
"BP","GO:0060976","coronary vasculature development","4/257","50/18805",0.08,5.85369649805447,4.04522072511325,0.00479446319740997,0.272325509612886,0.25573529054893,"DYNC2H1/MEGF8/PRDM1/SPRED1",4,"BP",0.0155642023346304,0.00265886732252061
"BP","GO:0035384","thioester biosynthetic process","4/257","51/18805",0.0784313725490196,5.73891813534752,3.98896731578819,0.00514761838209707,0.276459292157319,0.259617240798723,"ACACA/ACLY/ACSL3/FASN",4,"BP",0.0155642023346304,0.00271204466897102
"BP","GO:0071616","acyl-CoA biosynthetic process","4/257","51/18805",0.0784313725490196,5.73891813534752,3.98896731578819,0.00514761838209707,0.276459292157319,0.259617240798723,"ACACA/ACLY/ACSL3/FASN",4,"BP",0.0155642023346304,0.00271204466897102
"BP","GO:0032252","secretory granule localization","3/257","26/18805",0.115384615384615,8.44283148757857,4.47024955489304,0.00519933068210949,0.276459292157319,0.259617240798723,"CADPS2/MECP2/TANC2",3,"BP",0.0116731517509728,0.00138261100771072
"BP","GO:0070252","actin-mediated cell contraction","6/257","116/18805",0.0517241379310345,3.78471756339729,3.54127991184004,0.00522122222704285,0.276459292157319,0.259617240798723,"CCDC88C/DLG1/FLNA/KCND3/KCNH2/NOS1AP",6,"BP",0.0233463035019455,0.00616857218824781
"BP","GO:1902743","regulation of lamellipodium organization","4/257","52/18805",0.0769230769230769,5.62855432505238,3.93418519473082,0.00551778377755346,0.287292608684617,0.269790585755114,"HSP90AA1/PLXNB3/RREB1/WASF2",4,"BP",0.0155642023346304,0.00276522201542143
"BP","GO:0046037","GMP metabolic process","3/257","27/18805",0.111111111111111,8.13013402507566,4.36413370183489,0.00579088068539727,0.293055358157466,0.275202265376662,"DLG1/IMPDH2/PFAS",3,"BP",0.0116731517509728,0.00143578835416113
"BP","GO:1904951","positive regulation of establishment of protein localization","11/257","331/18805",0.0332326283987915,2.4316715059894,3.09328580064374,0.00603400458467126,0.293055358157466,0.275202265376662,"ACSL3/ATP13A2/ATP2C1/BMP6/FLNA/GPR27/HSP90AA1/IPO5/MYO1C/TM7SF3/TM9SF4",11,"BP",0.0428015564202335,0.0176017016750864
"BP","GO:0140694","membraneless organelle assembly","13/257","427/18805",0.0304449648711944,2.22769480312378,3.02063583774497,0.00609990404151706,0.293055358157466,0.275202265376662,"AR/CSDE1/DDX3X/EIF2A/FASTKD2/FLII/FLNA/KIF3B/MAPT/NEK6/PRKDC/SH3PXD2B/TUBGCP4",13,"BP",0.0505836575875486,0.022706726934326
"BP","GO:0006970","response to osmotic stress","5/257","85/18805",0.0588235294117647,4.30418860151064,3.59388775194372,0.00619131038360843,0.293055358157466,0.275202265376662,"DDX3X/HSP90AA1/LRRC8D/RPTOR/SLC25A23",5,"BP",0.0194552529182879,0.00452007444828503
"BP","GO:0086001","cardiac muscle cell action potential","5/257","85/18805",0.0588235294117647,4.30418860151064,3.59388775194372,0.00619131038360843,0.293055358157466,0.275202265376662,"DLG1/FLNA/KCND3/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.00452007444828503
"BP","GO:0086003","cardiac muscle cell contraction","5/257","85/18805",0.0588235294117647,4.30418860151064,3.59388775194372,0.00619131038360843,0.293055358157466,0.275202265376662,"DLG1/FLNA/KCND3/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.00452007444828503
"BP","GO:0099173","postsynapse organization","9/257","243/18805",0.037037037037037,2.71004467502522,3.15821250247062,0.00638715482344568,0.294993484585343,0.277022320081998,"DLG1/DOCK1/FARP1/GPHN/NOS1AP/SHANK2/SHANK3/TANC2/WASF2",9,"BP",0.0350194552529183,0.0129220951874501
"BP","GO:0046949","fatty-acyl-CoA biosynthetic process","3/257","28/18805",0.107142857142857,7.83977209560867,4.26334700951638,0.00642111298073091,0.294993484585343,0.277022320081998,"ACACA/ACSL3/FASN",3,"BP",0.0116731517509728,0.00148896570061154
"BP","GO:0035176","social behavior","4/257","55/18805",0.0727272727272727,5.32154227095861,3.7780057399653,0.00673383761246093,0.304876937700405,0.286303667824998,"MECP2/RPTOR/SHANK2/SHANK3",4,"BP",0.0155642023346304,0.00292475405477267
"BP","GO:0060562","epithelial tube morphogenesis","11/257","337/18805",0.0326409495548961,2.38837765128335,3.02730216180821,0.00687021199285799,0.306607746652691,0.2879290349488,"AR/DCHS1/DLG1/LRP5/MED12/MEGF8/PLXNB2/PODXL/PRKX/RBPJ/TNC",11,"BP",0.0428015564202335,0.0179207657537889
"BP","GO:0007528","neuromuscular junction development","4/257","56/18805",0.0714285714285714,5.22651473040578,3.72846855932631,0.0071755035166522,0.315722154732697,0.296488188301107,"FARP1/GPHN/SPG11/TNC",4,"BP",0.0155642023346304,0.00297793140122308
"BP","GO:0051703","biological process involved in intraspecies interaction between organisms","4/257","57/18805",0.0701754385964912,5.13482148952147,3.68010202908819,0.00763587216381491,0.320622732351428,0.301090220049677,"MECP2/RPTOR/SHANK2/SHANK3",4,"BP",0.0155642023346304,0.00303110874767349
"BP","GO:0071470","cellular response to osmotic stress","4/257","57/18805",0.0701754385964912,5.13482148952147,3.68010202908819,0.00763587216381491,0.320622732351428,0.301090220049677,"DDX3X/LRRC8D/RPTOR/SLC25A23",4,"BP",0.0155642023346304,0.00303110874767349
"BP","GO:0071287","cellular response to manganese ion","2/257","10/18805",0.2,14.6342412451362,5.07636625458589,0.00778806821670077,0.320622732351428,0.301090220049677,"ATP13A2/HSP90B1",2,"BP",0.00778210116731518,0.000531773464504121
"BP","GO:0150172","regulation of phosphatidylcholine metabolic process","2/257","10/18805",0.2,14.6342412451362,5.07636625458589,0.00778806821670077,0.320622732351428,0.301090220049677,"ACSL3/LDLR",2,"BP",0.00778210116731518,0.000531773464504121
"BP","GO:0099623","regulation of cardiac muscle cell membrane repolarization","3/257","30/18805",0.1,7.31712062256809,4.07598862620712,0.00780004086386317,0.320622732351428,0.301090220049677,"FLNA/KCNH2/NOS1AP",3,"BP",0.0116731517509728,0.00159532039351236
"BP","GO:0001763","morphogenesis of a branching structure","8/257","208/18805",0.0384615384615385,2.81427716252619,3.09711260050716,0.00797908362236341,0.32207398630116,0.302453062814655,"AR/DCHS1/DLG1/LRP5/MECP2/PLXNA1/PRDM1/TNC",8,"BP",0.0311284046692607,0.0110608880616857
"BP","GO:0022612","gland morphogenesis","6/257","127/18805",0.047244094488189,3.45690738074083,3.27015696704248,0.00804153999087403,0.32207398630116,0.302453062814655,"AR/EDA/IGFBP5/LRP5/PLXNA1/TNC",6,"BP",0.0233463035019455,0.00675352299920234
"BP","GO:0140588","chromatin looping","7/257","168/18805",0.0416666666666667,3.04880025940337,3.13985359312799,0.00844142319561577,0.324202237398019,0.3044516596901,"ATRX/DDX18/DDX21/DDX3X/DDX3Y/ERCC6/TWNK",7,"BP",0.0272373540856031,0.00893379420366924
"BP","GO:0072384","organelle transport along microtubule","5/257","93/18805",0.0537634408602151,3.933935818585,3.3386824817819,0.00898767479000565,0.324202237398019,0.3044516596901,"BICD2/KIF3B/MAPT/MECP2/SPG11",5,"BP",0.0194552529182879,0.00494549321988833
"BP","GO:1903829","positive regulation of protein localization","14/257","499/18805",0.0280561122244489,2.052899573466,2.80597393732961,0.00899345723249143,0.324202237398019,0.3044516596901,"ACSL3/ATP13A2/ATP2C1/BMP6/DLG1/FARP1/FLNA/GPR27/HSP90AA1/IPO5/MAPT/MYO1C/TM7SF3/TM9SF4",14,"BP",0.0544747081712062,0.0265354958787557
"BP","GO:0042255","ribosome assembly","4/257","60/18805",0.0666666666666667,4.8780804150454,3.5415457171639,0.00913231038929429,0.324202237398019,0.3044516596901,"DDX3X/EIF2A/FASTKD2/PRKDC",4,"BP",0.0155642023346304,0.00319064078702473
