"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"TSPYL4",-0.189595688561756,13953,0.0379875831056014,0.0808484561464041
"RPTOR",-0.190071324301609,13963,0.0586367520859758,0.115530936919071
"IGFBP5",-0.190661288893208,13972,0.383799842478619,0.497403719659456
"NEK9",-0.19244656136323,13998,0.0296684862557153,0.0655188088161103
"BTN3A2",-0.195161139867968,14024,0.17086796051474,0.270240934242622
"RPRD1A",-0.200015805560968,14080,0.0256142890711961,0.0580258355489897
"SLC25A23",-0.206275581672677,14165,0.0587385243855925,0.115681269946734
"PDCD7",-0.206873950768679,14174,0.00111111717125805,0.00395697991238457
"HSP90AA1",-0.208636758050113,14199,0.102184447243439,0.180937210324582
"DOCK1",-0.277785547033782,14929,0.00154650452352406,0.00525314158084109
"FAM169A",-0.286386089411445,15024,0.00150170606790098,0.00512204138743695
"NUMBL",-0.303945638633678,15171,0.00301186088290723,0.00936393373248206
"TTYH2",-0.327599892442384,15358,0.000465955515244901,0.00186567068325741
"DCHS1",-0.336787143350918,15421,0.0293175344616544,0.0649015758019028
"ALDH1B1",-0.37395637433858,15698,0.0199883812170057,0.0469800663977391
"CTIF",-0.38133556412639,15746,0.000250150868624609,0.00108609958877501
"TNC",-0.385768536023333,15779,0.0918048936364024,0.165531285141329
"MPRIP",-0.386593216723859,15784,0.00014781767644553,0.000685511059215688
"DDX3Y",-0.389795204090321,15807,0.00507301717735871,0.0146499358884122
"TIPARP",-0.41034259274937,15950,0.00709977305669738,0.0194180182697929
"BICD2",-0.43315816368607,16098,1.518493518679e-07,1.71441598883299e-06
"TM7SF3",-0.441665298329049,16147,0.000316922545196055,0.00133454217803235
"SPRED1",-0.450518232615508,16196,1.84387349059754e-05,0.000111541144955694
"FOXO4",-0.528368761716745,16583,1.17106735019436e-06,1.03019900647122e-05
"SOWAHC",-0.553601408542245,16698,1.93532983471403e-06,1.59154376538774e-05
"FADS1",-0.570670627014359,16767,0.000246707832291389,0.00107294577002762
"AKAP12",-0.597478340420765,16872,0.00517626211027476,0.0148926160112847
"ARHGEF17",-0.65722600337947,17049,1.13279054663359e-06,1.00040219106203e-05
"HR",-0.674833201180663,17113,9.28549849842898e-10,2.05962800667029e-08
"SH3PXD2B",-0.691748166682856,17161,2.63721458654658e-07,2.79997897014641e-06
"CHST3",-0.750846130785207,17328,4.61358572084727e-08,6.1489653855401e-07
"STEAP3",-0.77963116880206,17392,3.02177424123724e-06,2.33589578154535e-05
"DUSP4",-0.91147588957479,17618,0.000200010399673386,0.000892286080664719
"KCNH2",-0.956099449478243,17686,3.21133493114854e-07,3.31649291411281e-06
"PRIMA1",-0.996486876753841,17738,6.15501919514541e-09,1.0508654013065e-07
"FLNA",-1.17696610547614,17923,1.03278371765508e-07,1.22865415945791e-06
"ANXA6",-1.26851946620413,17983,1.50509722843745e-14,1.8599725341357e-12
"ISYNA1",-1.38201284363858,18050,1.74881484892203e-13,1.47343583542781e-11
