"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0051588","regulation of neurotransmitter transport","1/19","103/18805",0.00970873786407767,9.60909555442003,2.78622944104721,0.0991389313602876,0.22941765526323,0.173927949754891,"CPLX3",1,"BP",0.0526315789473684,0.00547726668439245
"BP","GO:1903312","negative regulation of mRNA metabolic process","1/19","103/18805",0.00970873786407767,9.60909555442003,2.78622944104721,0.0991389313602876,0.22941765526323,0.173927949754891,"DND1",1,"BP",0.0526315789473684,0.00547726668439245
"BP","GO:0001960","negative regulation of cytokine-mediated signaling pathway","1/19","104/18805",0.00961538461538462,9.5167004048583,2.76974882911874,0.100054146861526,0.230060809025546,0.174415542634909,"TREX1",1,"BP",0.0526315789473684,0.00553044403084286
"BP","GO:0032526","response to retinoic acid","1/19","106/18805",0.00943396226415094,9.33714001986097,2.73744624652305,0.101881935937858,0.231697832225898,0.175656615771202,"OVCA2",1,"BP",0.0526315789473684,0.00563679872374368
"BP","GO:0002377","immunoglobulin production","1/19","108/18805",0.00925925925925926,9.16423001949318,2.70598826278225,0.103706207781416,0.231697832225898,0.175656615771202,"TREX1",1,"BP",0.0526315789473684,0.00574315341664451
"BP","GO:0006626","protein targeting to mitochondrion","1/19","108/18805",0.00925925925925926,9.16423001949318,2.70598826278225,0.103706207781416,0.231697832225898,0.175656615771202,"TOMM6",1,"BP",0.0526315789473684,0.00574315341664451
"BP","GO:0019217","regulation of fatty acid metabolic process","1/19","109/18805",0.00917431192660551,9.08015451472719,2.69056400478558,0.104617026739118,0.231697832225898,0.175656615771202,"TREX1",1,"BP",0.0526315789473684,0.00579633076309492
"BP","GO:0060079","excitatory postsynaptic potential","1/19","109/18805",0.00917431192660551,9.08015451472719,2.69056400478558,0.104617026739118,0.231697832225898,0.175656615771202,"NPFF",1,"BP",0.0526315789473684,0.00579633076309492
"BP","GO:0060761","negative regulation of response to cytokine stimulus","1/19","109/18805",0.00917431192660551,9.08015451472719,2.69056400478558,0.104617026739118,0.231697832225898,0.175656615771202,"TREX1",1,"BP",0.0526315789473684,0.00579633076309492
"BP","GO:0007040","lysosome organization","1/19","111/18805",0.00900900900900901,8.91654812707444,2.66030229597843,0.106436034716812,0.232869142622843,0.176544618988014,"TREX1",1,"BP",0.0526315789473684,0.00590268545599575
"BP","GO:0080171","lytic vacuole organization","1/19","111/18805",0.00900900900900901,8.91654812707444,2.66030229597843,0.106436034716812,0.232869142622843,0.176544618988014,"TREX1",1,"BP",0.0526315789473684,0.00590268545599575
"BP","GO:0140888","interferon-mediated signaling pathway","1/19","112/18805",0.00892857142857143,8.83693609022556,2.64545620468508,0.107344225330933,0.233171787858963,0.1767740628177,"TREX1",1,"BP",0.0526315789473684,0.00595586280244616
"BP","GO:0042116","macrophage activation","1/19","113/18805",0.00884955752212389,8.75873311597578,2.63079441743637,0.108251541423519,0.233171787858963,0.1767740628177,"TREX1",1,"BP",0.0526315789473684,0.00600904014889657
"BP","GO:0000077","DNA damage checkpoint signaling","1/19","114/18805",0.0087719298245614,8.68190212373038,2.61631293953969,0.10915798378993,0.233171787858963,0.1767740628177,"TREX1",1,"BP",0.0526315789473684,0.00606221749534698
"BP","GO:0007218","neuropeptide signaling pathway","1/19","114/18805",0.0087719298245614,8.68190212373038,2.61631293953969,0.10915798378993,0.233171787858963,0.1767740628177,"NPFF",1,"BP",0.0526315789473684,0.00606221749534698
"BP","GO:0019882","antigen processing and presentation","1/19","117/18805",0.00854700854700855,8.45928924876293,2.57391220364676,0.1118720764755,0.237563644750916,0.180103652530217,"TREX1",1,"BP",0.0526315789473684,0.00622174953469822
"BP","GO:0099565","chemical synaptic transmission, postsynaptic","1/19","118/18805",0.00847457627118644,8.38760035682426,2.56011436921908,0.1127750318772,0.238080622851867,0.180495588107554,"NPFF",1,"BP",0.0526315789473684,0.00627492688114863
"BP","GO:0007006","mitochondrial membrane organization","1/19","120/18805",0.00833333333333333,8.24780701754386,2.53300155161773,0.114578334193149,0.240481271184459,0.182315586843444,"TOMM6",1,"BP",0.0526315789473684,0.00638128157404945
"BP","GO:0071482","cellular response to light stimulus","1/19","122/18805",0.00819672131147541,8.11259706643658,2.50651078412608,0.116378163797663,0.242846919832118,0.184109051337952,"TREX1",1,"BP",0.0526315789473684,0.00648763626695028
"BP","GO:0031570","DNA integrity checkpoint signaling","1/19","123/18805",0.00813008130081301,8.04664099272571,2.49349085933126,0.11727677830753,0.243315614764473,0.184464382092909,"TREX1",1,"BP",0.0526315789473684,0.00654081361340069
"BP","GO:0072655","establishment of protein localization to mitochondrion","1/19","127/18805",0.0078740157480315,7.7932034811438,2.44284584128043,0.120862586123294,0.246940138707047,0.187212235205809,"TOMM6",1,"BP",0.0526315789473684,0.00675352299920234
"BP","GO:0006906","vesicle fusion","1/19","128/18805",0.0078125,7.73231907894737,2.43052940371322,0.121756879455753,0.246940138707047,0.187212235205809,"CPLX3",1,"BP",0.0526315789473684,0.00680670034565275
"BP","GO:0032479","regulation of type I interferon production","1/19","129/18805",0.00775193798449612,7.67237862097103,2.41834561375596,0.122650310911037,0.246940138707047,0.187212235205809,"TREX1",1,"BP",0.0526315789473684,0.00685987769210316
"BP","GO:0032606","type I interferon production","1/19","129/18805",0.00775193798449612,7.67237862097103,2.41834561375596,0.122650310911037,0.246940138707047,0.187212235205809,"TREX1",1,"BP",0.0526315789473684,0.00685987769210316
"BP","GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway","1/19","129/18805",0.00775193798449612,7.67237862097103,2.41834561375596,0.122650310911037,0.246940138707047,0.187212235205809,"TREX1",1,"BP",0.0526315789473684,0.00685987769210316
"BP","GO:0090174","organelle membrane fusion","1/19","130/18805",0.00769230769230769,7.61336032388664,2.40629195565528,0.123542881273678,0.246940138707047,0.187212235205809,"CPLX3",1,"BP",0.0526315789473684,0.00691305503855358
"BP","GO:0051209","release of sequestered calcium ion into cytosol","1/19","131/18805",0.00763358778625954,7.55524306950583,2.39436598053499,0.124434591327536,0.246940138707047,0.187212235205809,"GP1BB",1,"BP",0.0526315789473684,0.00696623238500399
"BP","GO:0051283","negative regulation of sequestering of calcium ion","1/19","132/18805",0.00757575757575758,7.49800637958533,2.3825653041207,0.125325441855799,0.246940138707047,0.187212235205809,"GP1BB",1,"BP",0.0526315789473684,0.0070194097314544
"BP","GO:0051282","regulation of sequestering of calcium ion","1/19","134/18805",0.00746268656716418,7.38609583660644,2.35933062032293,0.127104567464934,0.246940138707047,0.187212235205809,"GP1BB",1,"BP",0.0526315789473684,0.00712576442435522
"BP","GO:0002244","hematopoietic progenitor cell differentiation","1/19","135/18805",0.00740740740740741,7.33138401559454,2.34789214821069,0.127992844108829,0.246940138707047,0.187212235205809,"TREX1",1,"BP",0.0526315789473684,0.00717894177080564
"BP","GO:0002832","negative regulation of response to biotic stimulus","1/19","135/18805",0.00740740740740741,7.33138401559454,2.34789214821069,0.127992844108829,0.246940138707047,0.187212235205809,"TREX1",1,"BP",0.0526315789473684,0.00717894177080564
"BP","GO:0070585","protein localization to mitochondrion","1/19","135/18805",0.00740740740740741,7.33138401559454,2.34789214821069,0.127992844108829,0.246940138707047,0.187212235205809,"TOMM6",1,"BP",0.0526315789473684,0.00717894177080564
"BP","GO:0002456","T cell mediated immunity","1/19","137/18805",0.0072992700729927,7.22435651171725,2.32536220767541,0.129766828977809,0.246940138707047,0.187212235205809,"TREX1",1,"BP",0.0526315789473684,0.00728529646370646
"BP","GO:0006639","acylglycerol metabolic process","1/19","137/18805",0.0072992700729927,7.22435651171725,2.32536220767541,0.129766828977809,0.246940138707047,0.187212235205809,"ABHD16B",1,"BP",0.0526315789473684,0.00728529646370646
"BP","GO:0007093","mitotic cell cycle checkpoint signaling","1/19","137/18805",0.0072992700729927,7.22435651171725,2.32536220767541,0.129766828977809,0.246940138707047,0.187212235205809,"TREX1",1,"BP",0.0526315789473684,0.00728529646370646
"BP","GO:0006638","neutral lipid metabolic process","1/19","138/18805",0.0072463768115942,7.17200610221205,2.31426660750722,0.1306525387619,0.246940138707047,0.187212235205809,"ABHD16B",1,"BP",0.0526315789473684,0.00733847381015687
"BP","GO:0051208","sequestering of calcium ion","1/19","138/18805",0.0072463768115942,7.17200610221205,2.31426660750722,0.1306525387619,0.246940138707047,0.187212235205809,"GP1BB",1,"BP",0.0526315789473684,0.00733847381015687
"BP","GO:0030168","platelet activation","1/19","140/18805",0.00714285714285714,7.06954887218045,2.29240420364535,0.132421396921796,0.248979814004001,0.188758570173612,"GP1BB",1,"BP",0.0526315789473684,0.0074448285030577
"BP","GO:0010565","regulation of ketone metabolic process","1/19","142/18805",0.00704225352112676,6.96997776130467,2.27096750627988,0.134186845052869,0.25004950522941,0.189569533050435,"TREX1",1,"BP",0.0526315789473684,0.00755118319595852
"BP","GO:0010212","response to ionizing radiation","1/19","143/18805",0.00699300699300699,6.92123665807876,2.26040421308112,0.135068292298435,0.25004950522941,0.189569533050435,"TREX1",1,"BP",0.0526315789473684,0.00760436054240893
"BP","GO:0043467","regulation of generation of precursor metabolites and energy","1/19","143/18805",0.00699300699300699,6.92123665807876,2.26040421308112,0.135068292298435,0.25004950522941,0.189569533050435,"TREX1",1,"BP",0.0526315789473684,0.00760436054240893
"BP","GO:0045598","regulation of fat cell differentiation","1/19","147/18805",0.00680272108843537,6.73290368779091,2.21914424018426,0.138585587227119,0.254273069010879,0.192771535042509,"ADIRF",1,"BP",0.0526315789473684,0.00781706992821058
"BP","GO:0007269","neurotransmitter secretion","1/19","148/18805",0.00675675675675676,6.68741109530583,2.2090692764228,0.139462791313446,0.254273069010879,0.192771535042509,"CPLX3",1,"BP",0.0526315789473684,0.00787024727466099
"BP","GO:0099643","signal release from synapse","1/19","148/18805",0.00675675675675676,6.68741109530583,2.2090692764228,0.139462791313446,0.254273069010879,0.192771535042509,"CPLX3",1,"BP",0.0526315789473684,0.00787024727466099
"BP","GO:0034614","cellular response to reactive oxygen species","1/19","149/18805",0.00671140939597315,6.64252914164606,2.19908715154594,0.140339149086135,0.254585089548214,0.193008086550621,"TREX1",1,"BP",0.0526315789473684,0.00792342462111141
"BP","GO:0060078","regulation of postsynaptic membrane potential","1/19","150/18805",0.00666666666666667,6.59824561403509,2.18919634351479,0.141214661316375,0.254892463676056,0.193241115485565,"NPFF",1,"BP",0.0526315789473684,0.00797660196756182
"BP","GO:0009411","response to UV","1/19","157/18805",0.00636942675159236,6.3040563191418,2.12239681623166,0.147319636380759,0.2645889986739,0.200592330238268,"TREX1",1,"BP",0.0526315789473684,0.0083488433927147
"BP","GO:0042770","signal transduction in response to DNA damage","1/19","171/18805",0.00584795321637427,5.78793474915359,2.00022105955741,0.159406456618662,0.284879855640283,0.215975397190475,"TREX1",1,"BP",0.0526315789473684,0.00909332624302047
