"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"SDHA",0.522843964648731,1576,6.7358540077759e-13,2.35306401456646e-11
"COX6C",0.522198216879036,1582,6.79161022431633e-06,3.28015738649821e-05
"NDUFB1",0.518268476886401,1609,1.02832233655458e-05,4.7721889734517e-05
"NDUFA2",0.513698600312188,1631,1.73377896829263e-05,7.59453396518781e-05
"VDAC1",0.500513296035233,1708,2.80791035765384e-08,2.46939290288421e-07
"ECHS1",0.488695795909193,1795,0.000128254570501356,0.000452870285091391
"GRPEL1",0.480388534228925,1844,2.26106043915643e-10,3.64845671215825e-09
"NDUFA1",0.476076534562111,1872,1.70266420064734e-05,7.46898758141796e-05
"ECI1",0.465903424903739,1935,1.99569258086784e-06,1.08427485669637e-05
"NDUFB8",0.463194178386657,1953,6.29394178276848e-06,3.06491977083575e-05
"MTX2",0.460517053681147,1974,3.67588122018369e-05,0.000147633347334818
"TIMM10",0.459856879527374,1980,3.55357143779429e-05,0.000143496720797492
"COX7A2L",0.455809444429196,2008,0.000100040168850236,0.000362494291652135
"TIMM9",0.454390248026767,2021,1.36008999648651e-07,9.937361550329e-07
"ACAT1",0.454362973899297,2022,0.000329397821077004,0.00104439864603238
"NDUFA7",0.45336599373874,2029,4.64209590075498e-09,5.14830137967155e-08
"CYC1",0.452325371604665,2038,4.03369204119581e-06,2.0466505229023e-05
"ETFA",0.45125185667096,2047,9.75556267919848e-06,4.55224987470552e-05
"ATP6V0C",0.446021722072754,2086,4.62508541217386e-06,2.31647409209673e-05
"NDUFB4",0.440657933459237,2129,1.9557773891217e-05,8.44145316391704e-05
"CS",0.439704541008373,2141,8.10373525033574e-08,6.32576188387319e-07
"COX8A",0.419953657464998,2299,0.000198998030075316,0.00066830263235075
"UQCRB",0.41493343668079,2341,5.55501447937215e-05,0.00021339199680381
"HSPA9",0.41393655564181,2350,8.42658705980779e-08,6.5358827700403e-07
"COX7A2",0.40747086591755,2403,0.000976428259001692,0.00274644881104479
"PHB2",0.402058083601992,2449,0.000158874805753116,0.000547238770862985
"ETFB",0.400677604764044,2463,4.8274031252576e-05,0.000188695368041847
"NDUFA3",0.394153091439368,2521,2.46784786031934e-05,0.000103650745037004
"NDUFB2",0.391581677963374,2545,1.25268699441533e-05,5.68550673506527e-05
"COX5B",0.390197002463801,2557,1.71447996500034e-05,7.51720860314358e-05
"SUPV3L1",0.388772372827198,2565,8.72302677216874e-10,1.19620725991317e-08
"ACADSB",0.387132333230202,2584,0.00546140932573144,0.0126436125150584
"BCKDHA",0.380337571440974,2654,2.23726387681623e-08,2.02206145343519e-07
"UQCR10",0.378681617408462,2670,0.000366305492033607,0.00114453234989495
"NDUFS8",0.378437211871266,2672,0.000325582933414787,0.0010337385471501
"IDH3G",0.373812987246612,2709,2.40303376158832e-05,0.000101161130880784
"GPX4",0.353203552303104,2908,0.00205800175908378,0.00534273168439801
"ATP6V1F",0.352603483584582,2914,0.000564861980481652,0.00168922215708544
"FH",0.351628431600522,2925,9.54608822572752e-07,5.59412407863775e-06
"NDUFC1",0.349519332052061,2947,0.000163366079494361,0.00056048925770924
"GLUD1",0.346859597258668,2974,0.0381547803798107,0.0694712139570995
"SLC25A5",0.343021867781346,3015,0.00127901814476071,0.00349581706302546
"NDUFB7",0.336625998356969,3071,0.00519483415058608,0.0121047124116093
"TOMM22",0.323095906875936,3230,0.000514319352102185,0.00155281938603281
"NDUFV2",0.3180094626982,3285,7.28307964921269e-05,0.000272887657174398
"NDUFB3",0.317443738291431,3292,0.00122971982195514,0.00337470887437388
