"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"SLC25A3",0.0488735721445668,4321,0.412236249701836,0.962613387123402
"MTX2",0.0477044551314671,4421,0.543950408957666,0.972817794316773
"MRPS12",0.0460455839649887,4524,0.606497838527672,0.974889403904491
"SDHB",0.0459849885751167,4532,0.440595630707282,0.962613387123402
"OGDH",0.0458222618818915,4545,0.481762917044215,0.962718731948181
"ATP6V0E1",0.0406237373791809,4926,0.595044512736821,0.974889403904491
"NDUFS8",0.04052595078966,4938,0.666093467719403,0.981929873817129
"ACADSB",0.0397500804123543,4998,0.729083977394047,0.986318354041964
"NDUFB2",0.0376734137018939,5191,0.639704335790295,0.980271327308636
"COX6C",0.03693730782134,5257,0.741801268052399,0.987296101648575
"COX7C",0.0365116614964567,5303,0.676114419350608,0.982229109568959
"COX17",0.035947354611837,5346,0.693583852230051,0.98263152052947
"MRPL35",0.0357386652541316,5369,0.490034619913599,0.963535743091324
"TOMM22",0.0350711678238786,5433,0.584512792672581,0.974889403904491
"NDUFA8",0.0348314517446857,5458,0.652870891178851,0.981791940588791
"LDHA",0.0339760000636318,5525,0.746575020036941,0.987904232899193
"SLC25A5",0.0339728805753667,5526,0.714342269384351,0.985753432058228
"NDUFB7",0.0326346335920045,5625,0.766985961211466,0.988070096138049
"NDUFC1",0.0325639058883951,5631,0.672598703889451,0.982229028624857
"NDUFA6",0.0316255664920391,5706,0.664764461441117,0.981912618536378
"TIMM13",0.031442500511516,5721,0.719378009286373,0.98595061929778
"NDUFS7",0.0313509485378347,5730,0.628406146577476,0.978684211817327
"NDUFS2",0.0306717131623655,5791,0.582980578422283,0.974889403904491
"FXN",0.0283050000364777,5989,0.56182615040821,0.97322286537164
"MRPL11",0.0281648191092532,6003,0.716724636832572,0.985753432058228
"SLC25A20",0.0276214321826718,6050,0.809316035613418,0.988741473863441
"ATP6V1H",0.0265872222830095,6135,0.697801022685609,0.982941951275926
"MRPS15",0.0258646864824978,6190,0.728206884927085,0.986064874486454
"OAT",0.0257943540315884,6199,0.851685929440221,0.993371139928155
"ETFB",0.0243839602253506,6328,0.789452774333225,0.988741473863441
"PRDX3",0.0205984860476036,6687,0.812517049368586,0.989478443393013
"ATP6V1E1",0.0188850470461821,6844,0.766784690854942,0.988070096138049
"OXA1L",0.018604021056972,6874,0.702510715308626,0.984387797569624
"CASP7",0.0185300217619613,6882,0.844716040557964,0.993371139928155
"NDUFV1",0.0181542254632117,6914,0.801732060472753,0.988741473863441
"NQO2",0.01795096507484,6940,0.805901247812475,0.988741473863441
"COX5B",0.0177303043104793,6972,0.851202175421798,0.993371139928155
"ATP6V0B",0.017135771195492,7030,0.845059082477622,0.993371139928155
"UQCRH",0.0162010551267482,7119,0.855977828055815,0.993371139928155
"COX7A2L",0.0150952492763832,7205,0.826452820192946,0.993371139928155
"RHOT2",0.0146105553100035,7246,0.861228835334566,0.993371139928155
"MRPS11",0.0127357808555133,7439,0.812320280686858,0.989478443393013
"NNT",0.0124486602091309,7466,0.888162087790318,0.995443154842405
"ECH1",0.0122272466583651,7483,0.895380327694395,0.995443154842405
"COX15",0.0119804347095807,7511,0.826725531175805,0.993371139928155
"TIMM8B",0.0117316081226289,7539,0.904360322275557,0.996396890482989
"TIMM17A",0.0116256291287513,7550,0.876287935174364,0.995379202197669
"NDUFB6",0.00907571410174057,7811,0.91781495061212,0.996396890482989
"ATP6V1C1",0.00880515983699892,7843,0.88993687941138,0.995443154842405
"COX8A",0.00878132215118832,7847,0.923957878671394,0.996624672772691
"DLST",0.00844765055999019,7879,0.873077185931924,0.995379202197669
"IDH3B",0.00659217180138949,8073,0.909820992479775,0.996396890482989
"MRPS22",0.00583076804100635,8159,0.917144848240663,0.996396890482989
"MTRR",0.00382138215181227,8376,0.954348290372653,0.996725389280917
"ECI1",0.00349098587780627,8419,0.969386572917313,0.997726456533199
"NDUFA9",0.00316583193889142,8459,0.958257424011186,0.997215746486835
"NDUFS4",0.00257991923436673,8534,0.973158254359966,0.997726456533199
"NDUFB4",0.00257557356282945,8535,0.97603552434794,0.997732768293417
"ABCB7",0.000318046591442744,8793,0.995142142441752,0.999644242513462
"ACADVL",-0.000985969027609279,8995,0.990816636015882,0.998927071480386
"VDAC3",-0.00204122247870586,9137,0.978793228567906,0.997885184331778
"SDHC",-0.00240530768179514,9199,0.970285248082852,0.997726456533199
"ATP6V1F",-0.00366470943410846,9390,0.96608327446953,0.997726456533199
"GPX4",-0.00611108970243635,9820,0.947342150829546,0.996725389280917
"PHYH",-0.0080060661717507,10144,0.933854687601129,0.996624672772691
"ATP6V1G1",-0.00827006210252001,10191,0.923019937470931,0.996624672772691
"TIMM50",-0.00894572854837916,10336,0.879807613352722,0.995379202197669
"NDUFA2",-0.0107280999954487,10688,0.911600034964507,0.996396890482989
"MTRF1",-0.0139996502362481,11327,0.799120451035068,0.988741473863441
"COX11",-0.0141678743383724,11358,0.823448897915585,0.993201271685324
"UQCR10",-0.0148879436215203,11489,0.875517526224093,0.995379202197669
"COX7A2",-0.0161403224555601,11721,0.869953502316999,0.995033822473618
"MGST3",-0.0164958370703512,11777,0.858497162566309,0.993371139928155
"MRPL15",-0.0168676595879287,11840,0.844605248440372,0.993371139928155
"NDUFB5",-0.0175058511090134,11932,0.808757622662604,0.988741473863441
"NDUFB3",-0.0217106870264896,12578,0.789184340093565,0.988741473863441
"NDUFA3",-0.0260380320670999,13148,0.773992728097333,0.988741473863441
"TIMM9",-0.0316459475279824,13711,0.649311361350063,0.981712527999862
"ATP6V1D",-0.0337753764337378,13929,0.599453267372937,0.974889403904491
"POLR2F",-0.0368071408705677,14206,0.603343030928349,0.974889403904491
"UQCRB",-0.043003984392981,14684,0.63621816860495,0.979880563677205
"NDUFA1",-0.0430358619555395,14685,0.672504222953783,0.982229028624857
