"Gene","log2FC","rank","in_gene_set"
"TIMM17A",0.404253355496877,584,FALSE
"CPNE7",0.40390385918638,585,FALSE
"RPL11",0.403873570732644,586,FALSE
"HOMER3",0.403363960146861,587,FALSE
"POP7",0.403356916036784,588,FALSE
"SLC2A8",0.403329172610698,589,FALSE
"DES",0.403320264518312,590,FALSE
"MYL6",0.40316984643671,591,TRUE
"TWF2",0.402877423760247,592,FALSE
"SSNA1",0.402740212945777,593,FALSE
"SIRT7",0.402571224416983,594,FALSE
"GPAA1",0.402506631799876,595,FALSE
"ISOC2",0.402387946156626,596,FALSE
"PLEKHJ1",0.402319213187615,597,FALSE
"PUS1",0.402203698267662,598,FALSE
"PFDN2",0.402095666674184,599,FALSE
"HDAC11",0.401997285945625,600,FALSE
"CDKN2D",0.401664840548358,601,FALSE
"ZNF358",0.401547190487939,602,FALSE
"MRPS2",0.401480867023272,603,FALSE
"BRI3",0.400361202358046,604,FALSE
"PDF",0.400249944008181,605,FALSE
"TRAPPC6A",0.39984275536788,606,FALSE
"CLASRP",0.399420571740901,607,FALSE
"MSRB2",0.399223694403866,608,FALSE
"MLPH",0.399167431214869,609,FALSE
"DCTN3",0.399147293684196,610,TRUE
"BOD1",0.399100098574484,611,FALSE
"SMPX",0.399059528159419,612,FALSE
"CENPX",0.398770597389639,613,FALSE
"ILVBL",0.398751532162894,614,FALSE
"HSPBP1",0.398603633578013,615,FALSE
"RPS14",0.398434410639211,616,FALSE
"RABAC1",0.398424780831919,617,FALSE
"SRSF2",0.398124169328378,618,FALSE
"PIDD1",0.397823548249611,619,FALSE
"ALYREF",0.397807398616647,620,FALSE
"PRAF2",0.397778937546978,621,FALSE
"VGF",0.397519557050139,622,FALSE
"NUBP2",0.397278914483469,623,FALSE
"MED10",0.397069227119646,624,FALSE
"ARHGAP4",0.396932192366331,625,FALSE
"TMEM259",0.396731132474538,626,FALSE
"UBALD1",0.396681296367828,627,FALSE
"ZNHIT2",0.396172818727737,628,FALSE
"COQ4",0.39609438787358,629,FALSE
"ATG101",0.396070566420019,630,FALSE
"WBP1",0.396057150530267,631,FALSE
"GPT",0.395288106560569,632,FALSE
"NFKBIL1",0.39505573425812,633,FALSE
"ETFB",0.394481978344703,634,FALSE
"MAPK8IP3",0.394454679242212,635,FALSE
"UBE2M",0.394078623481771,636,FALSE
"CCDC183",0.393986775868232,637,FALSE
