"Gene","log2FC","rank","in_gene_set","background_pvalue","background_p.adjust"
"SRPK2",0.212938375973984,275,FALSE,0.00578476157155343,0.545596402735573
"FAM210B",0.212862999769418,276,FALSE,0.00877149088816683,0.6455957779886
"PLXNB3",0.211871040731992,277,FALSE,0.0668616336218374,0.961953958507263
"ATP2A1",0.211396639578954,278,FALSE,0.0701662029104584,0.961953958507263
"FBXO2",0.211184984135245,279,FALSE,0.0987349380678917,0.961953958507263
"PFKM",0.210909778372134,280,FALSE,0.0185906015424067,0.843403251480126
"MYOT",0.210877070664637,281,FALSE,0.072106067711622,0.961953958507263
"DUSP3",0.210302040231609,282,FALSE,0.00191363291926465,0.30944968436923
"PPP1R12B",0.209551241713216,283,FALSE,0.0702516483324059,0.961953958507263
"ATOH8",0.209412063925315,284,FALSE,0.0773713386238943,0.961953958507263
"MAGEA3",0.209081276890574,285,FALSE,0.121792913499505,0.961953958507263
"TMC5",0.209058434814214,286,FALSE,0.154481943249972,0.961953958507263
"GREB1",0.208982660008659,287,FALSE,0.22813696825262,0.961953958507263
"IER5L",0.2089759262319,288,FALSE,0.0629672745517331,0.961953958507263
"TES",0.208520321005192,289,FALSE,0.0185525677830062,0.843403251480126
"EDA2R",0.20837973323215,290,FALSE,0.037378597542876,0.926605171946301
"DNAJB1",0.2083634066235,291,FALSE,0.0178539170359662,0.841536653297569
"ZNF217",0.208066110164873,292,FALSE,0.0778669036317242,0.961953958507263
"OLFM4",0.207923115488976,293,FALSE,0.487679600776134,0.963535743091324
"NKX3-1",0.207481990642668,294,FALSE,0.0870338678892879,0.961953958507263
"MKNK2",0.207468044696569,295,FALSE,0.00868768110277766,0.6455957779886
"ADGRG6",0.207388660489953,296,FALSE,0.0829248882209817,0.961953958507263
"CBX6",0.207092376181341,297,FALSE,0.0191915128707347,0.843403251480126
"PRICKLE3",0.206415325454659,298,FALSE,0.000873713842931042,0.176772438966184
"CYP4F11",0.206194354826196,299,FALSE,0.0947900138971575,0.961953958507263
"ZG16B",0.206139579136763,300,FALSE,0.160968111476805,0.961953958507263
"ORAI2",0.205995704053388,301,FALSE,0.00832079579173071,0.641543888195339
"PMCH",0.205675306347921,302,FALSE,8.99474194383672e-64,7.14612693650993e-61
"NEK6",0.205481107260323,303,FALSE,0.0272578655539366,0.865497709203493
"PPP1R12A",0.205159699310772,304,FALSE,0.00394576058245047,0.458139176025148
"C19orf81",0.2047648915319,305,FALSE,0.250754206266589,0.961953958507263
"MYH1",0.204624271949993,306,FALSE,0.0282100002069025,0.870745496251231
"VCL",0.204463923992291,307,FALSE,0.0705849280351299,0.961953958507263
"CSAG1",0.204338684560867,308,FALSE,0.0988887401802433,0.961953958507263
"SRL",0.204311201291432,309,FALSE,0.0236525068892836,0.843403251480126
"BTG1",0.204190564061551,310,FALSE,0.0415607418220989,0.950487403398265
"PRKAR2A",0.203741557456625,311,FALSE,0.00313295544146878,0.412000940740952
"ACO2",0.203500992206617,312,FALSE,0.013359676729978,0.768631951687148
"ZFAND5",0.203466330957185,313,FALSE,0.00364276206384342,0.451267833937165
"CRISP3",0.203432063929714,314,FALSE,0.628185569318123,0.978684211817327
"NPR3",0.20338892526571,315,FALSE,0.273680128786227,0.961953958507263
"MGST1",0.202605079052546,316,FALSE,0.309578868516235,0.961953958507263
"SLC2A1",0.202416011763485,317,FALSE,0.0317832009254363,0.899604244252604
"ZNF106",0.202080448176925,318,FALSE,0.0279546180092304,0.870745496251231
"MCRIP2",0.201896400647576,319,FALSE,0.0903959257654627,0.961953958507263
"VWA1",0.201560769509273,320,FALSE,0.0798532712023914,0.961953958507263
"PPTC7",0.20154528556715,321,FALSE,0.00297092560307756,0.401902050028195
"MTDH",0.201444191292691,322,FALSE,0.00975773026663509,0.688428591359934
"SERINC5",0.201161409084747,323,FALSE,0.130082218551643,0.961953958507263
"OPLAH",0.20020317378534,324,FALSE,0.0663513633222502,0.961953958507263
"TESC",0.200074096947727,325,FALSE,0.234678460208305,0.961953958507263
"C1orf21",0.200036256932577,326,FALSE,0.0386301389382673,0.933620436610014
"DNASE2B",0.199964083487747,327,FALSE,0.293786373539135,0.961953958507263
"GNAZ",0.199844781162266,328,FALSE,0.0251478215168417,0.843403251480126
"TBX3",0.199298337098562,329,FALSE,0.143426988596839,0.961953958507263
"RB1",0.199275004379268,330,FALSE,0.0196471198991517,0.843403251480126
"GTF2I",0.199237795729545,331,FALSE,0.0216106518898917,0.843403251480126
"PI16",0.199195778938541,332,FALSE,0.245839198925093,0.961953958507263
"SLC12A2",0.199031016118608,333,FALSE,0.130325657134892,0.961953958507263
"CEBPD",0.198812432056074,334,FALSE,0.230745658332138,0.961953958507263
"TNS1",0.198804953053148,335,FALSE,0.179552723156479,0.961953958507263
"PDK3",0.198502024242524,336,FALSE,0.0301901673351948,0.894459929084208
"KLHL5",0.198331493043824,337,FALSE,0.016942832634247,0.834475471687762
"PPP1R27",0.197774020181787,338,FALSE,0.0179753366540556,0.841536653297569
"CACNG1",0.197627743351484,339,FALSE,0.0187313456379997,0.843403251480126
"GPRC5A",0.197501464524156,340,FALSE,0.209024998829967,0.961953958507263
"HAGHL",0.197498475574919,341,FALSE,0.126001136672359,0.961953958507263
"HSD11B2",0.197092465574273,342,FALSE,0.167784231278629,0.961953958507263
"ABHD6",0.196943130396202,343,FALSE,0.00174886140456739,0.285329861121963
"FBP2",0.196877505477673,344,FALSE,0.000151639361077369,0.0461817674161127
"WWC3",0.196652373828877,345,FALSE,0.00231493468180648,0.338991157757416
"GYG1",0.195667446661191,346,FALSE,0.0162761938107624,0.834475471687762
"SPDEF",0.194340927606597,347,FALSE,0.111852697546766,0.961953958507263
"PARVA",0.193963988243676,348,FALSE,0.00738666509939308,0.59989569493871
"HIPK2",0.193838953252508,349,FALSE,0.0892219116523702,0.961953958507263
"RAB3D",0.193700940283172,350,FALSE,0.0842889016804342,0.961953958507263
"RXRA",0.1929775044116,351,FALSE,0.0160730116972385,0.830874591745173
"AK4",0.192756803400882,352,FALSE,0.0976845094088546,0.961953958507263
"SLC39A6",0.192597809221659,353,FALSE,0.134977881154981,0.961953958507263
"SHROOM3",0.192498133320965,354,FALSE,0.0828658489144151,0.961953958507263
"ZNF462",0.192433381394173,355,FALSE,0.058056658842161,0.961953958507263
