"Gene","log2FC","rank","in_gene_set","background_pvalue","background_p.adjust"
"THBS4",0.297488788085814,121,FALSE,0.105207035522595,0.961953958507263
"STC2",0.296741893835319,122,FALSE,0.0250982369634179,0.843403251480126
"PDK4",0.293716718469982,123,FALSE,0.0927489576627027,0.961953958507263
"CMYA5",0.292913598111917,124,FALSE,0.00638196229670187,0.56476106314922
"PIP",0.292610592243072,125,FALSE,0.166320848644955,0.961953958507263
"RPL39L",0.290970361279677,126,FALSE,0.0482448988034551,0.958910750271067
"GP2",0.28722828736719,127,FALSE,0.332497750472339,0.961953958507263
"LPP",0.285731462133312,128,FALSE,0.00225168023558161,0.33451181255921
"GGT6",0.285681417835055,129,FALSE,0.051712012249483,0.960298373815857
"ZNF503",0.285607660861504,130,FALSE,0.0380603893137889,0.927402306141879
"TNNC1",0.284832370356303,131,FALSE,0.215598823917552,0.961953958507263
"SLC26A3",0.281793515219109,132,FALSE,0.0482370950397325,0.958910750271067
"EHF",0.281614581775816,133,FALSE,0.018685687975865,0.843403251480126
"S100P",0.280116953086958,134,FALSE,0.304983120429902,0.961953958507263
"TPM1",0.279406042223592,135,FALSE,0.00951227478625133,0.679900036545421
"ATP1A1",0.279193013918257,136,FALSE,0.0340698759603863,0.910142923574761
"SI",0.278021419544245,137,FALSE,0.121790036966262,0.961953958507263
"SLC2A12",0.276613002652791,138,FALSE,0.0879478126577648,0.961953958507263
"NR3C2",0.276032800784431,139,FALSE,0.0036020686384498,0.451267833937165
"CASQ2",0.275705025037431,140,FALSE,0.0244151883312891,0.843403251480126
"CA3",0.275545415600515,141,FALSE,0.200773018351545,0.961953958507263
"ELL2",0.275273315029121,142,FALSE,0.0193298299414532,0.843403251480126
"DLG5",0.275100625288611,143,FALSE,0.0166003309579691,0.834475471687762
"HOPX",0.273324240649376,144,FALSE,0.0355026935966518,0.920199602966833
"ANKRD2",0.272608322014572,145,FALSE,0.00853801826765117,0.645040712970846
"SORBS1",0.272478436266439,146,FALSE,0.0537126999413943,0.961137546427122
"APOBEC2",0.272427905481411,147,FALSE,0.0328486109407226,0.905798340597689
"BIN1",0.272186160435643,148,FALSE,0.00817193711396253,0.63667975904813
"NAMPT",0.271108997926298,149,FALSE,0.0265741145906793,0.857931968667551
"ATP1A2",0.27088738097891,150,FALSE,0.0674661460112573,0.961953958507263
"UPK3A",0.269717043496184,151,FALSE,0.203408674487983,0.961953958507263
"TRDN",0.269071068016295,152,FALSE,0.0124069710810444,0.748745972802155
"MAOB",0.267834640909499,153,FALSE,0.186632378301568,0.961953958507263
