"Gene","log2FC","rank","in_gene_set"
"PDK3",0.198502024242524,336,FALSE
"KLHL5",0.198331493043824,337,FALSE
"PPP1R27",0.197774020181787,338,FALSE
"CACNG1",0.197627743351484,339,FALSE
"GPRC5A",0.197501464524156,340,FALSE
"HAGHL",0.197498475574919,341,FALSE
"HSD11B2",0.197092465574273,342,FALSE
"ABHD6",0.196943130396202,343,FALSE
"FBP2",0.196877505477673,344,FALSE
"WWC3",0.196652373828877,345,FALSE
"GYG1",0.195667446661191,346,FALSE
"SPDEF",0.194340927606597,347,FALSE
"PARVA",0.193963988243676,348,FALSE
"HIPK2",0.193838953252508,349,FALSE
"RAB3D",0.193700940283172,350,FALSE
"RXRA",0.1929775044116,351,FALSE
"AK4",0.192756803400882,352,FALSE
"SLC39A6",0.192597809221659,353,FALSE
"SHROOM3",0.192498133320965,354,FALSE
"ZNF462",0.192433381394173,355,FALSE
"WWC1",0.191314772072408,356,FALSE
"SRXN1",0.191134159792371,357,FALSE
"TBL1X",0.190968304654397,358,FALSE
"MYOM3",0.190939479344292,359,FALSE
"COMTD1",0.190924946490995,360,FALSE
"PRKCD",0.190847514368795,361,FALSE
"ALDH4A1",0.190846360427928,362,FALSE
"KANK1",0.190641917565306,363,FALSE
"PRR7",0.190499719152833,364,FALSE
"AOX1",0.190485151573459,365,FALSE
"IDH1",0.190352130796289,366,FALSE
"EDNRB",0.190134187957253,367,FALSE
"ATP6V0E2",0.1901040364478,368,FALSE
"PLN",0.189695415230682,369,FALSE
"SAMD8",0.189627893254392,370,FALSE
"SH3BP4",0.189496329563786,371,FALSE
"MTUS1",0.189205397829954,372,FALSE
"RASD2",0.188908255391619,373,FALSE
"TNFRSF19",0.188839118302954,374,FALSE
"UBE3C",0.18855095734665,375,FALSE
"SEMG1",0.188271212737947,376,FALSE
"TBC1D14",0.188114659722304,377,FALSE
"CYP51A1",0.187891826198081,378,FALSE
"LMOD3",0.187806545629698,379,FALSE
"PHACTR2",0.187663571822284,380,FALSE
"REST",0.187327594927612,381,FALSE
"MYL3",0.187289001542399,382,FALSE
"TRPS1",0.1867391826678,383,FALSE
"TTLL12",0.186735447198797,384,FALSE
"PIEZO1",0.186678152019057,385,FALSE
"CAMP",0.186200896416636,386,FALSE
"JPH1",0.186129256135473,387,FALSE
"SERPINA5",0.185795849832907,388,FALSE
"ZHX1",0.185666304368593,389,FALSE
"IL6R",0.185198065230522,390,FALSE
"SPOCK1",0.185036427550215,391,FALSE
"KLF15",0.18499443856122,392,FALSE
"CSNK1A1",0.184786561741568,393,FALSE
"SPATA13",0.184529135338744,394,FALSE
"MT1X",0.184311696025455,395,FALSE
"USP34",0.183920764346962,396,FALSE
"EDA",0.183876106266726,397,FALSE
"NAAA",0.183860873741156,398,FALSE
"CDYL2",0.183680061232815,399,FALSE
"TUBA3E",0.183571864035222,400,FALSE
"UBXN10",0.183373943715717,401,FALSE
"SYPL2",0.18293640542143,402,FALSE
"TMPRSS2",0.182848947781363,403,FALSE
"ADAM9",0.182516117620072,404,FALSE
"PMEPA1",0.1823366525828,405,FALSE
"ALDOA",0.181561035677228,406,FALSE
"TTN",0.181524352897331,407,FALSE
"NMRK2",0.180973840557903,408,FALSE
"HLTF",0.180918834942912,409,FALSE
"PPP1R1A",0.180883101190282,410,FALSE
"FBXO31",0.18053824130297,411,FALSE
"GALNT7",0.180493937496873,412,FALSE
"RTN4",0.180428802506288,413,FALSE
"NUDT11",0.180315074002082,414,FALSE
"APRT",0.180294189699523,415,FALSE
"ME1",0.180247067700914,416,FALSE
"CAMK2G",0.180122806918234,417,FALSE
"PTPN11",0.180073250733637,418,FALSE
"NDFIP2",0.179990368406747,419,FALSE
"PARD3",0.179790656344554,420,FALSE
"HSPA1A",0.179680809924975,421,FALSE
"GRHL2",0.179544468441487,422,FALSE
"CLDN4",0.179530275572455,423,FALSE
"STC1",0.179296205547471,424,FALSE
"SAMD12",0.179279447898069,425,FALSE
"TMEM52",0.179165429651992,426,FALSE
"ZNF649",0.179134136173216,427,FALSE
"MAPK8IP2",0.17884358933483,428,FALSE
"STK39",0.178806066982105,429,FALSE
"STUB1",0.178575832823276,430,FALSE
"HCAR1",0.178507830624993,431,FALSE
"UHMK1",0.178111017097087,432,FALSE
"SERHL2",0.178107316341767,433,FALSE
"LRRC58",0.177738416810246,434,FALSE
"TBC1D4",0.177643436886609,435,FALSE
"JAZF1",0.177632402036624,436,FALSE
"FBXO32",0.177239851863931,437,FALSE
"DAB1",0.177107649440443,438,FALSE
"ASB2",0.177041820916568,439,FALSE
"POMZP3",0.17685225691257,440,FALSE
"CEL",0.17671216566454,441,FALSE
"ADAM2",0.176461345126525,442,FALSE
"P2RX5",0.176262413291769,443,FALSE
"REEP3",0.176195993582161,444,FALSE
"SLC45A3",0.176153167534832,445,FALSE
"ITGB1",0.175920386141441,446,FALSE
"CHCHD10",0.175697416173234,447,FALSE
"VWA8",0.17561838550592,448,FALSE
"FABP4",0.175600768683571,449,FALSE
"VEGFA",0.175478093744421,450,FALSE
"TMOD4",0.175162641070418,451,FALSE
"CHRNA2",0.175109806071681,452,FALSE
"GFM1",0.17497378249906,453,FALSE
"CRYAB",0.174357537830305,454,FALSE
"KCNG1",0.174228913600497,455,FALSE
"PER1",0.174206252958186,456,FALSE
"CTAG2",0.174203609791284,457,FALSE
"MINDY4",0.173886574668318,458,FALSE
"TACSTD2",0.173836340433502,459,FALSE
"INSIG1",0.173317306122193,460,FALSE
"DUSP13",0.173274027538169,461,FALSE
"HK1",0.173096796179816,462,FALSE
"CLIP4",0.173082372944227,463,FALSE
"LIFR",0.172883323027447,464,FALSE
"ZBTB7B",0.172803943210582,465,FALSE
"NFIB",0.172761283544168,466,FALSE
"SLC9A1",0.171475105503506,467,FALSE
"UBR3",0.171368801253076,468,FALSE
"SLC39A14",0.17114401120587,469,FALSE
"FAM110C",0.171136769605059,470,FALSE
"FAM199X",0.171136232654606,471,FALSE
"DCXR",0.171034228170926,472,FALSE
"ODAM",0.170945983203123,473,FALSE
"KLK15",0.17045608251431,474,FALSE
"ADH1B",0.170386739096633,475,FALSE
"C10orf71",0.170340265114694,476,FALSE
"PRSS50",0.170295177389657,477,FALSE
"NUP210",0.170170528029344,478,FALSE
"RBM24",0.170113686978778,479,FALSE
"PTRH1",0.170028170504879,480,FALSE
"ZFHX3",0.169967872953233,481,FALSE
"FZD9",0.169268194198839,482,FALSE
"ANXA11",0.168879655050724,483,FALSE
"SETD7",0.168719022383013,484,FALSE
"MT1E",0.168703703814415,485,FALSE
"TXNDC16",0.16841212098857,486,FALSE
"SGCA",0.16827028851064,487,FALSE
"EPPK1",0.167997405997173,488,FALSE
"MIF",0.167791113043937,489,FALSE
"MYOG",0.167445571287004,490,FALSE
"RRAGD",0.167391016258201,491,FALSE
"FAM124A",0.167209677304677,492,FALSE
"RAC3",0.167131672430798,493,FALSE
"ALPK3",0.166871344677889,494,FALSE
"ELOVL5",0.166785113179242,495,FALSE
"EVX1",0.166738498813996,496,FALSE
"RPP25",0.166626784137909,497,FALSE
"ARHGEF9",0.166379295396907,498,FALSE
"KITLG",0.166368460386886,499,FALSE
"C7",0.166257698843975,500,FALSE
"HP",0.166078365521186,501,FALSE
"MANSC1",0.165919813201992,502,FALSE
"SELENOI",0.165890362931358,503,FALSE
"PUS7",0.165836194221318,504,FALSE
"NME3",0.165724910009343,505,FALSE
"RMND5A",0.165649952111138,506,FALSE
"CST4",0.165464527382187,507,FALSE
"PRKACB",0.165388524248183,508,FALSE
"ATP8B1",0.165373127438134,509,FALSE
"TMEM120A",0.165330386531154,510,FALSE
"MYBPH",0.165271751611631,511,FALSE
"TMPRSS11E",0.165210601353471,512,FALSE
"KDM6B",0.165068845593508,513,FALSE
"IRS1",0.165057019515684,514,FALSE
"ZNF770",0.164842341459041,515,TRUE
"SPR",0.164823059153782,516,FALSE
"FAM107A",0.164568664675405,517,FALSE
"KPNA3",0.164507637580063,518,FALSE
"SREBF2",0.164489080965804,519,FALSE
"ZBTB7C",0.164381190201914,520,FALSE
"LPCAT3",0.164377888909589,521,FALSE
"RNF24",0.163999720980588,522,FALSE
"RHOV",0.163778754982397,523,FALSE
"SNX22",0.163626622963255,524,FALSE
"GNB2",0.163440500384616,525,FALSE
"ADGRF1",0.163369213064776,526,FALSE
"SLC19A1",0.163313047817665,527,FALSE
"YAP1",0.163303497287107,528,FALSE
"TFCP2L1",0.163182376067851,529,FALSE
"EBPL",0.163179369830809,530,FALSE
"GPC6",0.163123268596502,531,FALSE
"CFL2",0.162824029360756,532,FALSE
"LMBR1",0.162758292341477,533,FALSE
"NUP205",0.162586820823995,534,FALSE
"SLC43A2",0.162409940438581,535,FALSE
"HSPG2",0.162342164858388,536,FALSE
"RHBDD2",0.162191408538159,537,FALSE
"URB1",0.162170821295287,538,FALSE
"PLEKHF2",0.1620756866828,539,FALSE
"TRIM35",0.162073177490309,540,FALSE
"PRR15",0.161988465378773,541,FALSE
"HRC",0.161987153137468,542,FALSE
"EFNB1",0.161962300073309,543,FALSE
"NIPAL2",0.161856500702204,544,FALSE
"PALM2AKAP2",0.161825807223741,545,FALSE
"CYB561",0.161795748869046,546,FALSE
"AGL",0.161721660014126,547,FALSE
"ITGAV",0.161615886567529,548,FALSE
"DSTN",0.161607528965523,549,FALSE
"BMPR2",0.161559484965041,550,FALSE
"CADPS2",0.161408401657273,551,TRUE
